Timestep,x error,y error
644,0.0009163350794345604,-0.000497643724596486
645,0.0,0.0
646,0.0,0.0
647,0.0,0.0
648,0.0,0.0
649,-0.0010724269545683285,-0.0007187574848082079
650,0.0,0.0
651,0.0,0.0
652,0.0,0.0
653,0.0,0.0
654,0.006427200577828529,-0.0014736799890950891
655,0.0,0.0
656,0.0,0.0
657,0.0,0.0
658,0.0028830572822755585,-0.0014030898006875958
659,0.0,0.0
660,0.0,0.0
661,0.0,0.0
662,0.0,0.0
663,0.0014084714132138743,-0.0023913778379256456
664,0.0,0.0
665,0.0,0.0
666,0.0,0.0
667,0.0,0.0
668,0.002609448935857017,0.0021936072625585723
669,0.0,0.0
670,0.0,0.0
671,0.0,0.0
672,0.0,0.0
673,0.002244008605490677,-0.0016090346817758672
674,0.0,0.0
675,0.0,0.0
676,0.0,0.0
677,0.0,0.0
678,0.005507188401736585,-0.00386914180224629
679,0.0,0.0
680,0.0,0.0
681,0.0,0.0
682,0.0,0.0
683,0.0042015500772052405,-0.0016312015367798693
684,0.0,0.0
685,0.0,0.0
686,0.0,0.0
687,0.0,0.0
688,0.0024937555722779337,0.00033720892547073333
689,0.0,0.0
690,0.0,0.0
691,0.004273168839507235,-0.0020279154380986597
692,0.0,0.0
693,0.0,0.0
694,0.0,0.0
695,0.007580425922544265,-0.0020349163850514884
696,0.0,0.0
697,0.0,0.0
698,0.0,0.0
699,0.0,0.0
700,0.007929324468353371,-0.0031352177912395973
701,0.0,0.0
702,0.0,0.0
703,0.0,0.0
704,0.17526969130566172,-0.07687179351609608
705,0.0,0.0
706,0.0,0.0
707,0.0,0.0
708,0.0,0.0
709,0.0007822814282576473,-0.0005874890277279832
710,0.0,0.0
711,0.007380255560896387,-0.005504430243210123
712,0.0,0.0
713,0.0,0.0
714,0.0,0.0
715,0.00674120731592609,-0.005710373697361604
716,0.0,0.0
717,0.0,0.0
718,0.0,0.0
719,0.0032484958617402526,0.0023995503750757763
720,0.0,0.0
721,0.0,0.0
722,0.0,0.0
723,0.0,0.0
724,0.0013019585171889503,-0.005131052751975673
725,0.0,0.0
726,0.0,0.0
727,0.0,0.0
728,0.0,0.0
729,0.01012375555752243,-0.0032209805881961984
